App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,,"9月 30, 2017 @ 09:45:28 下午",3 min 3 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Mobile Data State,Time  [ms],CPU1 Load [%],Time  [ms],Memory Usage [KB],Time  [ms],Wi-Fi State,Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],Wi-Fi RSSI Level [-dBm],Time  [ms],Screen Brightness,Time  [ms],CPU4 Load [%],Time  [ms],Screen State,Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],Battery Remaining (%) [%],Time  [ms],CPU6 Load [%],Time  [ms],Battery Status,Time  [ms],Bluetooth State,Time  [ms],GPU Frequency [KHz],Time  [ms],GPS State,Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],Application State,Description
41,0,41,38,8,2708424,43,3,43,30,44,8,43,-37,45,14,47,0,47,1,48,0,49,180299,0,49,80,50,0,51,1,51,0,51,266666,51,1,52,0,54,14,63,7,64,1305600,64,1305600,65,1305600,66,1305600,66,883200,67,883200,47,0,
110,0,110,66,109,2709516,112,3,112,62,113,50,112,-37,114,14,115,33,116,1,117,0,117,1161443,10366,117,80,119,0,119,1,119,0,119,266666,119,1,120,12,121,32,126,27,126,1305600,127,1305600,127,1305600,127,1305600,127,883200,128,883200,116,0,
212,0,212,22,210,2710012,215,3,214,36,218,20,215,-37,218,14,220,0,221,1,223,0,223,666652,0,223,80,225,0,226,1,226,0,226,266666,226,1,227,12,229,15,238,12,239,806400,239,806400,239,1305600,239,1305600,240,883200,240,883200,221,0,
314,0,313,33,311,2710508,317,3,316,44,319,16,317,-37,319,14,322,0,322,1,324,0,325,527144,0,325,80,327,0,328,1,328,0,328,266666,328,1,329,12,332,13,341,9,342,1305600,342,1305600,342,1305600,342,1305600,343,883200,343,883200,322,0,
414,0,414,22,412,2711156,417,3,417,30,419,11,417,-37,420,14,422,10,423,1,425,69,425,838871,0,425,80,428,0,428,1,428,0,429,266666,429,1,430,12,432,28,441,15,441,1305600,441,1305600,441,1305600,442,1305600,442,883200,442,883200,422,0,
514,0,514,30,512,2710544,516,3,515,33,517,30,516,-37,517,14,519,33,519,1,520,40,521,1039691,0,521,80,522,0,522,1,522,0,523,266666,523,1,523,12,524,24,530,20,530,1305600,531,1305600,531,1305600,531,1305600,531,1382400,532,1382400,519,0,
614,0,614,0,613,2710544,616,3,616,10,618,0,616,-37,618,14,619,20,619,1,621,0,621,409008,0,621,80,622,0,623,1,623,0,623,266666,623,1,623,12,625,5,630,4,630,1305600,630,1305600,631,1305600,631,1305600,631,883200,631,883200,619,0,
717,0,716,11,714,2710792,719,3,719,0,721,10,719,-37,722,14,724,20,725,1,727,0,727,468051,0,728,80,730,0,730,1,730,0,731,266666,731,1,732,12,734,9,740,4,741,1305600,741,1305600,741,1305600,741,1305600,742,883200,742,883200,725,0,
817,0,817,36,814,2711304,820,3,820,20,822,0,820,-37,823,14,825,30,826,1,828,0,828,709593,0,829,80,831,0,831,1,831,0,832,266666,832,1,833,12,835,13,842,12,842,1305600,842,1305600,842,1305600,843,1305600,843,883200,843,883200,826,0,
919,0,919,12,916,2711552,922,3,921,27,924,0,922,-37,925,14,927,30,927,1,930,0,930,618344,0,930,80,932,0,932,1,933,0,933,266666,933,1,934,12,936,12,942,7,943,1305600,943,1305600,943,1305600,943,1305600,943,883200,944,883200,927,0,
