App,Package,Start Time,Duration,Filename
"System",,"Jan 7, 1970 @ 05:12:40 a.m.","3 min 36 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"Mobile Data State",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Wi-Fi RSSI Level [-dBm]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"Screen Brightness",Time  [ms],"Screen State",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPS State",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Application State",Description,
53,1593600,30,50,31,1926444,31,0,53,1593600,34,81,35,1,53,2150400,37,37,37,-127,43,54,54,2150400,39,172,43,1,43,2224659,0,43,100,43,1,43,0,44,214000,44,0,44,10,46,60,52,52,43,0,,
156,729600,131,42,133,1926696,133,0,156,729600,136,37,136,1,156,1478400,139,44,139,-127,142,50,157,1478400,140,172,143,1,143,2246993,0,143,100,143,1,144,0,144,214000,144,0,145,10,148,43,155,34,143,0,,
267,652800,235,70,238,1926836,238,0,268,652800,243,54,243,1,268,1248000,248,37,248,-127,252,50,271,1248000,249,172,252,1,253,1325298,0,253,100,253,1,253,0,254,214000,254,0,255,10,257,52,266,27,252,0,,
360,1593600,335,54,337,1926836,337,0,360,1593600,340,14,340,1,361,1190400,343,54,344,-127,347,33,361,1190400,344,172,348,1,348,1042752,0,348,100,348,1,348,0,349,214000,349,0,350,10,352,44,359,20,347,0,,
483,422400,439,42,442,1927116,442,0,483,422400,447,44,448,1,484,1248000,453,22,454,-127,460,44,484,1248000,455,172,462,1,462,1431620,0,463,100,463,1,464,0,465,214000,465,0,466,10,470,41,482,16,461,0,,
579,1228800,543,70,548,1927380,549,0,579,1401600,552,37,552,1,580,1401600,557,54,558,-127,561,75,580,1401600,558,172,562,1,562,1233642,0,562,100,563,1,563,0,563,214000,563,0,564,10,567,60,578,30,562,0,,
687,307200,647,37,650,1927148,651,0,688,307200,656,40,657,1,689,1248000,663,50,664,-127,670,36,689,1401600,665,172,671,1,671,1424227,0,671,100,672,1,672,0,673,214000,673,0,674,10,677,39,686,17,671,0,,
778,422400,750,54,752,1927148,752,0,779,422400,755,44,756,1,779,1248000,759,60,759,-127,763,30,780,1248000,760,172,763,1,763,1028157,0,764,100,764,1,764,0,764,214000,765,0,766,10,769,48,777,20,763,0,,
879,480000,851,66,853,1927148,853,0,879,480000,856,55,857,1,880,1401600,860,45,860,-127,864,50,880,1401600,861,172,864,1,865,1077950,0,865,100,865,1,865,0,866,214000,866,0,867,10,870,52,878,20,864,0,,
999,1593600,955,60,958,1927272,958,0,1000,1593600,963,45,964,1,1002,1248000,967,40,968,-127,974,60,1003,1248000,969,172,974,1,974,1211461,0,974,100,974,1,974,0,975,214000,975,0,976,10,981,53,999,22,974,0,,
